,pH,pH,Total Dissolved Solids (mg/L),Total Dissolved Solids (mg/L),Temperature,Temperature,Turbidity (NTU),Turbidity (NTU),Chloride (mg/L),Chloride (mg/L),Electrical Conductivity (µS/cm) at 25°C),Electrical Conductivity (µS/cm) at 25°C),Fluoride (mg/L),Fluoride (mg/L),Sodium (mg/L),Sodium (mg/L)
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
District Name,,,,,,,,,,,,,,,,
Dhenkanal,7.389647058823529,0.3341369670320515,126.35050980392157,68.28466879941769,27.207568627450982,4.950049666715362,9.005882352941176,15.730553696307192,28.520313725490197,12.686499764676682,213.30960784313726,121.41244816708193,0.4247450980392157,0.20655744497904183,11.69407843137255,8.212508789873258
Dhubri,7.695942028985507,0.5476697127256528,102.17231884057972,41.79244500205493,26.665652173913045,3.438735864794807,83.67695652173913,128.58486053855125,5.435797101449276,2.7875270538371155,155.48260869565217,62.24883404653819,0.09246376811594202,0.045094860705662314,5.369420289855072,2.4843266835822413
Dhule,8.2,,540.0,,26.0,,1.2,,76.5,,832.0,,0.6,,40.2,
Dibang Valley,7.459999999999999,0.531977443130815,103.05999999999999,41.383668276265695,24.5,3.206243908376279,20.2,37.95655411124672,1.7600000000000002,0.7956129712366434,154.0,61.92333970321691,0.48200000000000004,0.31641744578957715,2.5200000000000005,1.373681185719598
Dibrugarh,7.6571428571428575,0.42139225025079524,117.62380952380951,36.58584295546441,22.90952380952381,2.7429737078405916,54.76190476190476,60.98106653864358,2.4333333333333336,1.2701705922171767,175.57142857142858,54.43397048587531,0.17523809523809525,0.04895089862495352,5.961904761904762,4.244346379653313
Dima Hasao,7.031818181818181,0.3974372449033477,79.74545454545455,29.040467063611896,27.754545454545454,2.413447176286913,144.63636363636363,165.99895947099955,10.94909090909091,8.225024564760222,122.56363636363636,44.46309194663081,0.085,0.03008321791298265,9.026363636363635,7.041849576250933
Dindigul,7.963333333333334,0.13428824718989188,984.6666666666666,366.59559917343984,26.333333333333332,1.7559422921421235,4.333333333333333,1.5275252316519468,431.90000000000003,166.93792259399902,1758.6666666666667,655.0552139578261,0.4633333333333334,0.11930353445448852,226.23333333333335,86.82109958606452
Doda,7.8043137254901955,0.4155490580037972,119.03627450980393,44.62408085152161,11.519803921568627,5.073456608741648,5.027450980392157,6.785575242567797,8.122549019607844,3.5112196417411754,190.07803921568626,41.290466794145495,0.17880392156862746,0.10781224784000064,5.685294117647058,3.6541222491543315
Dungarpur,8.283257575757576,0.4733581446941376,309.52272727272725,59.95564084255193,26.224242424242423,5.074665727525842,4.333333333333333,11.056183145671751,75.64060606060606,22.364059933945875,504.0168939393939,98.08652027544046,0.4431818181818182,0.20527143892018596,56.13318181818182,16.759378157048808
Durg,8.0525,0.41638094529295366,166.4848484848485,65.94826272515007,25.925757575757576,3.9355809141245666,31.878257575757576,61.65965773175578,30.11409090909091,20.449993447228106,323.8333333333333,125.3317835971537,0.3181818181818182,0.13700625818334652,29.890681818181818,22.722053221155225
East,7.539180327868852,0.4028825100943086,595.6473770491802,290.8683158286675,25.314754098360655,5.831147287500513,113.05688524590164,216.69177604407741,114.66196721311475,73.97986741494095,946.3147540983606,460.9965519885753,0.3498360655737705,0.13926583456682987,93.10770491803278,58.957412974492094
East Godavari,8.156666666666668,0.1842617186297279,194.4,50.8229419511644,29.533333333333335,1.0600988273786194,30.0,41.93282042233063,22.724,6.261219415691208,285.1666666666667,79.43045175917524,0.22733333333333333,0.038999389494611084,19.70266666666667,6.8658029045268645
East Kameng,7.400000000000001,0.5,37.93333333333333,12.231652927275748,22.46666666666667,3.666515148384542,7.666666666666667,7.505553499465135,1.0,0.5,56.666666666666664,18.230011885167087,0.20666666666666667,0.060277137733417085,3.266666666666667,1.8502252115170559
East Khasi Hills,7.1255,0.8496716083907142,78.215,66.0946711364205,27.27,2.8939319455134327,18.5375,24.093961435006467,5.32,1.9494479650457595,117.275,97.29931505681999,0.0617,0.0361591511311634,2.65,1.7578306007839979
East Siang,7.400000000000001,0.9000000000000004,120.23333333333333,37.60935167392989,22.900000000000002,2.7221315177632386,36.0,55.50675634551167,1.9666666666666668,0.057735026918962595,179.66666666666666,56.21684207898317,0.16333333333333333,0.06350852961085884,3.5,1.0816653826391966
Ernakulam,6.792181818181818,0.2661362148383507,29.635636363636365,5.048776075973251,27.312727272727273,1.1872867520737487,5.505454545454546,8.945191511558106,5.1,1.212435565298214,45.821636363636365,8.55864426864277,0.039618181818181816,0.08934649382933814,2.8505454545454545,0.5732991533151948
Erode,8.140769230769232,0.2958131803449318,618.4456410256411,608.4167483417365,28.85042735042735,2.032351446478715,7.7837606837606845,6.169208260621751,180.0971794871795,217.88231999235734,1041.068376068376,998.7495050837817,0.6622222222222223,0.4115280840777145,133.36837606837608,163.38980872365903
Etawah,7.790155038759689,0.38628839715320656,597.2403100775193,287.93154501096814,24.18449612403101,5.30544310137598,36.883720930232556,66.1285003689522,127.50310077519381,91.93399666845272,921.6174418604651,459.0275220103214,0.4069767441860465,0.13092581780321957,112.27713178294573,68.12783642253225
Faridabad,7.847611940298507,0.31339823418233,844.1194029850747,317.28189943444477,24.916417910447763,5.82951209078805,109.84328358208955,173.5894456398187,174.80089552238806,73.82040507370908,1328.2294029850746,526.8313614744015,0.6311940298507462,0.2554053367187603,138.8228358208955,58.36931522656481
Farrukhabad,7.910671641791045,0.2669211754930804,169.97761194029852,84.40000235344671,24.323880597014927,6.1542231860105385,15.828358208955224,6.3560120369284006,17.02007462686567,12.070946944824373,314.8955223880597,135.29657029905624,0.21365671641791045,0.08314803398790806,12.88955223880597,10.915652475731115
Fatehpur,8.0384496124031,0.29098284317014256,218.94573643410854,94.91997534745383,23.572093023255814,7.037688460444884,24.767441860465116,52.15444486509318,19.25961240310078,10.97541516890568,368.06953488372096,163.08687239216093,0.3236434108527132,0.14561259595507248,21.91914728682171,14.321367723997232
Gadchiroli,8.141428571428571,0.32551627695223856,200.72642857142858,110.65988199464512,21.642857142857142,5.049490518592395,3.704285714285714,3.5098194831405225,25.405,35.61063620761515,372.46785714285716,197.5118750364729,0.3192857142857143,0.14202056636220428,23.285,17.814633913765434
Gajapati,7.603020833333333,0.27370410373888937,166.81572916666667,46.36414612368602,25.974062500000002,4.525556337564884,11.63125,19.654742631098905,30.944270833333334,14.7540308672288,281.3197916666667,76.78993028802898,0.2925,0.09077444574328171,16.2296875,5.150161663916356
Ganjam,7.760363636363636,0.3000668439943751,157.6668484848485,74.60960485318799,26.925454545454546,4.306300751698588,29.23351515151515,88.74562527731187,24.779999999999998,18.64130811645693,279.2012121212121,133.3867387399983,0.3218787878787879,0.12501506191591027,17.21739393939394,8.763714958529476
Gaya,8.090769230769231,0.35997692233723066,166.92307692307693,41.0199201139379,26.807692307692307,3.805461662077081,40.04230769230769,82.6735854941682,20.426923076923078,8.270745924875587,252.57692307692307,51.50314404144514,0.5061538461538462,0.15173864169886123,29.74423076923077,13.252252087272389
Goalpara,7.448273381294964,0.5355681367192401,81.55525179856116,49.09866331795655,25.244604316546763,5.553601425343328,101.86093525179857,154.46420856894034,4.921870503597122,1.621555689045055,119.55107913669063,62.201230668316455,0.11143884892086331,0.040100618938429436,4.821942446043166,1.4189335032053516
Golaghat,7.692777777777778,0.5289915533277101,133.84722222222223,44.08749408755997,24.316666666666666,2.989266512995167,51.666666666666664,52.48509992641449,5.6066666666666665,2.8352888489786814,202.31666666666666,65.6010648868272,0.1688888888888889,0.06350603020986177,10.41,3.0813967148495687
Gomati,7.291538461538462,0.4892655406124257,88.96153846153847,51.94098475612392,26.77692307692308,2.6836398933022068,94.6846153846154,111.2412981327367,11.498461538461537,18.194254975199293,138.2,78.64555507677044,0.1,0.02645751311064591,10.279230769230768,10.989802441004464
Gondia,8.07625,0.4448093492080143,174.975,49.24935822642043,22.75,3.615443067098218,7.06875,12.416492991754383,13.02875,8.276609791627074,321.7375,81.06855894858377,0.2675,0.11949297648218254,14.688749999999999,1.4912165455473878
Gorakhpur,8.102631578947369,0.18190888280001308,215.16666666666666,61.393569188789,26.113552631578948,4.912817104748221,13.37719298245614,4.734148790771831,11.923157894736843,3.309425949606455,392.9780701754386,99.89873485793159,0.15561403508771932,0.05609989654586641,9.999561403508773,3.2915925180044754
Guna,8.065833333333334,0.3042441334744567,388.6666666666667,242.31181253243437,24.665000000000003,4.436744791829487,135.47041666666667,216.58488171332587,60.63958333333333,72.44253299530162,617.0375,384.615589921768,0.1875,0.05899520982765206,42.08958333333333,35.6156010611821
Guntur,8.128571428571428,0.14722338562444892,647.0,152.59650162337374,24.857142857142858,1.4064216928154862,5.642857142857143,3.15270684326349,115.99214285714287,50.864581326464126,968.3857142857142,200.7068043656749,0.8200000000000001,0.2680126288643303,88.17857142857143,17.1901778113786
Hailakandi,7.445,0.6184140178196946,100.15350000000001,45.36974850870997,26.5905,4.12086868487079,143.45525,196.6380049082447,6.10625,1.8554710335680953,153.79500000000002,69.85289653154086,0.10727500000000001,0.05360060633985403,10.7725,13.867365444055128
Hamirpur,7.979747474747475,0.25696675972336946,344.57070707070704,166.4414122329431,23.21828282828283,4.829659958057612,25.651515151515152,43.38126069420472,46.03459595959596,42.2155933683276,524.1616161616162,256.52843252121386,0.37752525252525254,0.128625837054838,55.08060606060606,39.124472648675
Hapur,7.788358208955224,0.28350937676185434,134.82089552238807,34.889837616172095,21.02238805970149,6.297902991437088,15.402985074626866,4.929993857923943,10.231641791044776,2.616681102265677,251.62686567164178,60.38383182680397,0.18761194029850747,0.05870030592658925,7.492537313432836,2.2194261770567616
Hardoi,7.861492537313433,0.3418676588324575,239.91044776119404,94.9075676874185,23.917910447761194,5.872275006284587,21.37313432835821,32.17746050062934,15.974328358208956,8.228559140390916,444.97014925373134,147.99109004191965,0.2862686567164179,0.12537018906320596,13.532835820895523,6.063586998701234
Haridwar,7.662564102564103,0.5216047437943431,211.78927350427352,151.27196109251264,17.462307692307693,4.054480885706407,1.5675213675213675,2.3297922713062773,28.85273504273504,29.040622403264386,408.1335042735043,289.18339698901315,0.38508547008547006,0.122145489317075,23.12371794871795,24.894133378679214
